"ESTU_GENERO","ESTU_FECHANACIMIENTO","PERIODO","YEAR","ESTU_DEPTO_RESIDE","ESTU_MCPIO_RESIDE","FAMI_ESTRATOVIVIENDA","COLE_BILINGUE","COLE_CARACTER","PUNT_LECTURA_CRITICA","PUNT_MATEMATICAS","PUNT_SOCIALES_CIUDADANAS","PUNT_C_NATURALES","PUNT_INGLES","PUNT_GLOBAL","DESEMP_LECTURA_CRITICA","DESEMP_MATEMATICAS","DESEMP_C_NATURALES","DESEMP_SOCIALES_CIUDADANAS","DESEMP_INGLES","ESTU_INSE_INDIVIDUAL","ESTU_NSE_INDIVIDUAL"
"F",2006-05-15,20234,"2023","BOGOTÁ","BOGOTÁ D.C.","Estrato 2","N","ACADÉMICO",45,53,48,49,59,248,2,3,2,2,"A2",61.5189031981886,3
"M",2004-04-14,20214,"2021","VALLE","CANDELARIA","Estrato 1","N","TÉCNICO/ACADÉMICO",49,46,43,40,41,221,2,2,1,2,"A-",48.9602779351855,2
"F",2004-02-14,20224,"2022","SANTANDER","SAN VICENTE DE CHUCURÍ","Sin Estrato","N","ACADÉMICO",40,27,26,39,37,167,2,1,1,1,"A-",51.5968475752739,3
"M",2002-12-20,20204,"2020","BOLIVAR","MAGANGUÉ","Estrato 1","N","TÉCNICO/ACADÉMICO",38,34,32,45,39,187,2,1,2,1,"A-",36.929086198323,1
"M",2006-11-19,20234,"2023","CUNDINAMARCA","SOACHA","Estrato 1","N","ACADÉMICO",63,67,62,61,54,313,3,3,3,3,"A1",57.5188262223212,3
"F",2004-08-10,20224,"2022","ATLANTICO","BARRANQUILLA","Estrato 3","N","ACADÉMICO",38,23,28,43,39,167,2,1,2,1,"A-",54.636647282665,3
"M",2005-09-20,20234,"2023","NARIÑO","TANGUA","Sin Estrato","N","ACADÉMICO",46,51,37,51,47,232,2,3,2,1,"A-",48.2381135018085,2
"F",2002-03-02,20204,"2020","MAGDALENA","SANTA MARTA","Estrato 1","N","ACADÉMICO",59,54,52,48,49,265,3,3,2,2,"A1",52.4664178344038,3
"F",2004-12-27,20224,"2022","CESAR","VALLEDUPAR","Estrato 1","N","TÉCNICO",59,37,52,49,40,243,3,2,2,2,"A-",35.088650563009,1
"M",2005-08-16,20234,"2023","VALLE","CALI","Estrato 1","N","TÉCNICO/ACADÉMICO",40,35,28,31,35,168,2,1,1,1,"A-",45.3277278934688,2
"F",2006-05-14,20234,"2023","ANTIOQUIA","MEDELLÍN","Estrato 2","N","TÉCNICO/ACADÉMICO",59,56,46,52,46,263,3,3,2,2,"A-",42.6577782643223,2
"M",2002-12-21,20204,"2020","META","VILLAVICENCIO","Estrato 3","N","ACADÉMICO",59,49,54,55,44,267,3,2,2,2,"A-",58.2224673452777,3
"F",2004-02-13,20204,"2020","BOGOTÁ","BOGOTÁ D.C.","Estrato 2","N","TÉCNICO/ACADÉMICO",60,60,50,52,52,276,3,3,2,2,"A1",51.9025312810502,3
"F",2003-07-09,20224,"2022","VALLE","CALI","Sin Estrato","N","TÉCNICO",37,47,43,35,30,198,2,2,1,2,"A-",45.5050332663038,2
"F",2006-12-22,20234,"2023","BOGOTÁ","BOGOTÁ D.C.","Estrato 2","N","ACADÉMICO",73,66,70,69,64,345,4,3,3,3,"A2",66.9676381253606,4
"F",2004-01-15,20204,"2020","SANTANDER","GIRÓN","Estrato 2","N","ACADÉMICO",59,56,58,55,64,288,3,3,2,3,"A2",54.7041908897381,3
"M",2005-05-22,20234,"2023","CORDOBA","CANALETE","Sin Estrato","N","ACADÉMICO",44,46,36,41,46,210,2,2,2,1,"A-",41.3228384712304,2
"M",2003-11-27,20204,"2020","ANTIOQUIA","SAN ROQUE","Estrato 2","N","ACADÉMICO",52,58,43,50,44,251,3,3,2,2,"A-",45.0230505375696,2
"F",2006-05-10,20224,"2022","CORDOBA","VALENCIA","Estrato 1","N","ACADÉMICO",51,48,40,45,43,229,3,2,2,1,"A-",34.9486463842698,1
"M",2003-11-04,20224,"2022","CAUCA","PUERTO TEJADA","Estrato 2","N","ACADÉMICO",50,44,33,39,37,206,2,2,1,1,"A-",46.4834036957471,2
"F",2004-09-15,20224,"2022","BOGOTÁ","BOGOTÁ D.C.","Estrato 3","N","NO APLICA",68,60,69,65,57,324,4,3,3,3,"A1",51.3565340956266,3
"M",1993-12-18,20214,"2021","RISARALDA","DOSQUEBRADAS","Estrato 3","N","ACADÉMICO",54,46,46,44,50,238,3,2,2,2,"A1",49.1917078104921,2
"M",2004-02-17,20214,"2021","SANTANDER","BARRANCABERMEJA","Estrato 5","N","ACADÉMICO",36,35,27,37,40,171,2,1,1,1,"A-",50.9391275629368,2
"F",2005-02-22,20224,"2022","BOGOTÁ","BOGOTÁ D.C.","Estrato 2","N","TÉCNICO/ACADÉMICO",39,35,28,41,45,182,2,1,2,1,"A-",54.0260150164848,3
"M",2003-08-14,20224,"2022","CALDAS","BELALCÁZAR","Estrato 2","N","ACADÉMICO",56,54,52,64,60,284,3,3,3,2,"A2",41.5737614484662,2
"F",2004-06-16,20214,"2021","BOLIVAR","CARTAGENA DE INDIAS","Estrato 1","N","TÉCNICO/ACADÉMICO",56,52,51,43,39,248,3,3,2,2,"A-",41.5603860242033,2
"F",2004-05-16,20214,"2021","SUCRE","SINCELEJO","Estrato 2","N","TÉCNICO/ACADÉMICO",45,38,41,42,46,209,2,2,2,2,"A-",47.0534583309167,2
"M",2003-01-13,20204,"2020","MAGDALENA","ALGARROBO","Estrato 1","N","TÉCNICO",36,32,27,36,39,166,2,1,1,1,"A-",49.8088491786503,2
"M",2005-02-05,20214,"2021","CALDAS","MANIZALES","Estrato 2","N","ACADÉMICO",47,44,42,44,34,217,2,2,2,2,"A-",59.1854863100889,3
"F",2004-07-10,20214,"2021","SANTANDER","BUCARAMANGA","Estrato 4","N","TÉCNICO/ACADÉMICO",67,65,64,57,73,320,4,3,3,3,"B1",60.0320678023249,3
"F",2006-02-03,20234,"2023","CORDOBA","PUERTO LIBERTADOR","Sin Estrato","N","ACADÉMICO",40,30,31,40,27,173,2,1,1,1,"A-",NA,NA
"F",2006-01-07,20234,"2023","ANTIOQUIA","PEÑOL","Sin Estrato","N","TÉCNICO/ACADÉMICO",58,61,64,55,52,295,3,3,2,3,"A1",39.768235631459,1
"F",2005-09-24,20224,"2022","ANTIOQUIA","MEDELLÍN","Estrato 2","N","ACADÉMICO",43,43,35,41,40,202,2,2,2,1,"A-",54.1204613389622,3
"F",2005-06-11,20224,"2022","NORTE SANTANDER","CÚCUTA","Estrato 1","N","TÉCNICO/ACADÉMICO",54,62,55,56,56,283,3,3,3,2,"A1",41.9786202691775,2
"M",2004-11-29,20214,"2021","BOGOTÁ","BOGOTÁ D.C.","Estrato 2","N","ACADÉMICO",65,56,65,59,61,306,3,3,3,3,"A2",44.1833701096535,2
"M",2005-06-04,20224,"2022","ANTIOQUIA","TARAZÁ","Estrato 1","N","TÉCNICO/ACADÉMICO",49,53,53,47,40,248,2,3,2,2,"A-",41.7883373381562,2
"F",2007-03-31,20234,"2023","BOGOTÁ","BOGOTÁ D.C.","Estrato 2","N","ACADÉMICO",45,31,41,42,44,200,2,1,2,2,"A-",47.3776473491504,2
"M",2001-08-19,20211,"2021","BOGOTÁ","BOGOTÁ D.C.","Sin Estrato","N","ACADÉMICO",53,54,58,52,48,269,3,3,2,3,"A1",NA,NA
"F",2005-02-21,20214,"2021","CALDAS","MANIZALES","Estrato 4","N","ACADÉMICO",62,57,55,54,62,287,3,3,2,2,"A2",57.1543152557343,3
"F",2007-02-09,20234,"2023","CUNDINAMARCA","LA PALMA","Estrato 1","N","TÉCNICO/ACADÉMICO",64,63,55,60,50,298,3,3,3,2,"A1",40.1156057085358,1
"F",2005-12-22,20224,"2022","NORTE SANTANDER","CHITAGÁ","Estrato 1","N","TÉCNICO/ACADÉMICO",55,52,48,49,57,257,3,3,2,2,"A1",42.9086472894069,2
"M",2005-08-16,20224,"2022","CUNDINAMARCA","SOACHA","Estrato 3","N","ACADÉMICO",62,55,55,53,59,282,3,3,2,2,"A2",63.6046905641638,3
"M",2004-11-18,20234,"2023","SANTANDER","BARRANCABERMEJA","Estrato 1","N","TÉCNICO/ACADÉMICO",35,48,41,46,37,210,1,2,2,2,"A-",39.0441947924316,1
"M",2006-11-25,20234,"2023","MAGDALENA","REMOLINO","Sin Estrato","N","TÉCNICO",47,32,36,43,39,197,2,1,2,1,"A-",42.4338624335525,2
"M",2006-11-17,20234,"2023","BOGOTÁ","BOGOTÁ D.C.","Estrato 2","N","ACADÉMICO",48,47,50,44,47,236,2,2,2,2,"A-",43.182501175148,2
"M",1998-12-04,20204,"2020","HUILA","SAN AGUSTÍN","Estrato 1","N","ACADÉMICO",60,54,49,40,39,249,3,3,1,2,"A-",39.7134630758358,1
"M",2002-07-25,20214,"2021","BOGOTÁ","BOGOTÁ D.C.","Estrato 3","N","ACADÉMICO",62,62,59,57,62,301,3,3,3,3,"A2",67.1814909127321,4
"F",2003-12-06,20204,"2020","NORTE SANTANDER","CÚCUTA","Estrato 1","N","TÉCNICO/ACADÉMICO",57,54,51,50,35,258,3,3,2,2,"A-",50.376059098955,2
"F",2002-04-29,20204,"2020","TOLIMA","SAN SEBASTIÁN DE MARIQUITA","Estrato 2","N","TÉCNICO/ACADÉMICO",46,42,36,36,48,203,2,2,1,1,"A1",48.7047593459491,2
"M",2006-02-19,20234,"2023","META","LEJANÍAS","Estrato 2","N","TÉCNICO/ACADÉMICO",34,37,32,34,41,174,1,2,1,1,"A-",42.2258372691274,2
"F",2006-12-05,20234,"2023","CORDOBA","MONTERÍA","Estrato 1","N","ACADÉMICO",66,57,64,65,58,313,4,3,3,3,"A2",55.4762779002478,3
"F",2003-01-14,20224,"2022","HUILA","PITALITO","Estrato 1","N","ACADÉMICO",44,43,49,39,37,216,2,2,1,2,"A-",50.0278325880198,2
"F",2005-10-09,20224,"2022","TOLIMA","SALDAÑA","Estrato 2","N","TÉCNICO/ACADÉMICO",61,51,54,46,34,258,3,3,2,2,"A-",49.0254882144319,2
"M",2006-10-24,20234,"2023","BOGOTÁ","BOGOTÁ D.C.","Estrato 2","N","ACADÉMICO",46,37,36,45,42,205,2,2,2,1,"A-",55.5439438329977,3
"F",2005-01-19,20224,"2022","CUNDINAMARCA","SOACHA","Estrato 3","N","ACADÉMICO",52,54,43,55,50,255,3,3,2,2,"A1",46.415024088085,2
"M",2004-07-31,20214,"2021","BOGOTÁ","BOGOTÁ D.C.","Estrato 2","N","ACADÉMICO",72,78,70,68,75,361,4,4,3,3,"B1",64.877447957907,4
"F",2003-11-17,20224,"2022","CALDAS","MANIZALES","Sin Estrato","N","ACADÉMICO",45,52,51,50,45,246,2,3,2,2,"A-",NA,NA
"F",2004-02-05,20204,"2020","ATLANTICO","BARRANQUILLA","Estrato 1","N","TÉCNICO",54,49,57,36,50,245,3,2,1,3,"A1",40.1060407475419,1
"F",2004-10-04,20204,"2020","MAGDALENA","SANTA MARTA","Estrato 2","N","ACADÉMICO",58,54,60,57,43,281,3,3,3,3,"A-",46.9070614398776,2
"F",2005-05-02,20234,"2023","BOGOTÁ","BOGOTÁ D.C.","Estrato 1","N","ACADÉMICO",50,44,42,34,40,212,2,2,1,2,"A-",53.6930212639426,3
"M",2004-11-04,20224,"2022","BOGOTÁ","BOGOTÁ D.C.","Estrato 3","N","TÉCNICO",72,70,70,72,70,355,4,3,4,3,"B1",56.3629200427751,3
"M",2006-11-08,20234,"2023","CUNDINAMARCA","MADRID","Estrato 3","N","ACADÉMICO",56,60,34,48,54,249,3,3,2,1,"A1",51.8882129521085,3
"M",1999-10-14,20204,"2020","ANTIOQUIA","RIONEGRO","Estrato 3","N","ACADÉMICO",52,57,46,50,37,251,3,3,2,2,"A-",40.0660035849393,1
"F",2005-12-10,20224,"2022","ANTIOQUIA","LA ESTRELLA","Estrato 2","N","ACADÉMICO",63,50,53,49,53,268,3,2,2,2,"A1",37.1519477137512,1
"M",2003-12-21,20204,"2020","SANTANDER","PUENTE NACIONAL","Estrato 2","N","TÉCNICO/ACADÉMICO",74,80,56,64,55,337,4,4,3,3,"A1",56.178255619124,3
"F",2006-03-13,20234,"2023","SANTANDER","BARBOSA","Sin Estrato","N","ACADÉMICO",61,60,53,57,69,293,3,3,3,2,"B1",51.7350681741191,3
"M",2004-02-14,20204,"2020","ATLANTICO","BARRANQUILLA","Estrato 2","N","ACADÉMICO",51,58,53,58,59,277,3,3,3,2,"A2",55.7506765856261,3
"F",2006-01-01,20234,"2023","BOGOTÁ","BOGOTÁ D.C.","Estrato 4","N","TÉCNICO/ACADÉMICO",51,50,46,41,47,235,3,2,2,2,"A-",54.3186772240346,3
"M",2002-11-23,20204,"2020","CALDAS","MANIZALES","Estrato 1","N","NO APLICA",52,54,57,58,43,272,3,3,3,3,"A-",47.1572125854156,2
"F",2004-07-27,20204,"2020","SANTANDER","FLORIDABLANCA","Estrato 2","N","TÉCNICO",65,57,61,49,66,293,3,3,2,3,"A2",56.8610456621186,3
"F",2004-11-28,20214,"2021","TOLIMA","IBAGUÉ","Estrato 2","N","ACADÉMICO",67,67,60,57,60,313,4,3,3,3,"A2",53.3425832956445,3
"F",2002-07-24,20204,"2020","ANTIOQUIA","SANTO DOMINGO","Estrato 1","N","TÉCNICO/ACADÉMICO",56,31,30,41,39,197,3,1,2,1,"A-",34.5088542605248,1
"F",2006-08-08,20234,"2023","ANTIOQUIA","ANDES","Estrato 2","N","TÉCNICO/ACADÉMICO",67,58,59,62,72,312,4,3,3,3,"B1",68.8469391237731,4
"F",2006-04-23,20224,"2022","CORDOBA","SAN PELAYO","Estrato 3","N","ACADÉMICO",50,32,31,33,56,190,2,1,1,1,"A1",44.0295176609844,2
"M",2005-08-26,20214,"2021","NARIÑO","ILES","Estrato 2","N","ACADÉMICO",35,44,36,45,44,202,1,2,2,1,"A-",42.1115349014642,2
"F",2006-04-29,20224,"2022","NARIÑO","TAMINANGO","Estrato 1","N","TÉCNICO/ACADÉMICO",63,65,59,65,55,312,3,3,3,3,"A1",42.9285993563421,2
"F",2004-12-08,20214,"2021","BOGOTÁ","BOGOTÁ D.C.","Estrato 2","N","ACADÉMICO",56,42,51,45,62,248,3,2,2,2,"A2",45.8093547250385,2
"M",2002-12-19,20204,"2020","SUCRE","SINCELEJO","Estrato 1","N","ACADÉMICO",54,60,50,44,41,256,3,3,2,2,"A-",51.6620479070273,3
"M",2007-02-24,20234,"2023","ANTIOQUIA","MEDELLÍN","Estrato 2","N","TÉCNICO/ACADÉMICO",31,38,32,32,39,168,1,2,1,1,"A-",59.1454544466913,3
"M",2004-01-02,20214,"2021","CUNDINAMARCA","TABIO","Estrato 3","N","ACADÉMICO",60,53,58,51,52,276,3,3,2,3,"A1",68.7584024468399,4
"F",2003-06-17,20214,"2021","HUILA","GARZÓN","Estrato 2","N","TÉCNICO/ACADÉMICO",47,45,45,38,42,218,2,2,1,2,"A-",49.0669480744447,2
"M",2003-09-24,20234,"2023","ATLANTICO","SANTO TOMÁS","Estrato 2","N","TÉCNICO",40,42,31,33,34,182,2,2,1,1,"A-",44.5113909286997,2
"M",2004-06-30,20214,"2021","ANTIOQUIA","YARUMAL","Estrato 1","N","TÉCNICO/ACADÉMICO",36,52,39,44,42,213,2,3,2,1,"A-",44.7417639926063,2
"F",2003-12-26,20204,"2020","ANTIOQUIA","COCORNÁ","Estrato 1","N","ACADÉMICO",61,54,50,39,46,253,3,3,1,2,"A-",39.5763171192597,1
"F",2001-04-02,20204,"2020","BOGOTÁ","BOGOTÁ D.C.","Estrato 2","N","ACADÉMICO",38,56,39,43,45,220,2,3,2,1,"A-",53.3050199704433,3
"F",2003-09-24,20204,"2020","NORTE SANTANDER","CÚCUTA","Estrato 1","N","ACADÉMICO",62,63,62,57,47,300,3,3,3,3,"A-",47.930080842031,2
"M",2007-02-11,20234,"2023","CAUCA","TIMBÍO","Sin Estrato","N","TÉCNICO",67,64,62,63,68,322,4,3,3,3,"B1",54.7652943119323,3
"F",2006-10-06,20224,"2022","TOLIMA","IBAGUÉ","Estrato 2","S","ACADÉMICO",69,60,64,62,54,315,4,3,3,3,"A1",54.414278676575,3
"F",2003-01-17,20234,"2023","CAUCA","TIMBIQUÍ","Estrato 1","S","TÉCNICO",40,24,34,33,33,164,2,1,1,1,"A-",39.8403953396351,1
"M",2003-07-26,20204,"2020","ANTIOQUIA","SAN PEDRO DE LOS MILAGROS","Estrato 3","N","TÉCNICO/ACADÉMICO",63,52,54,51,50,273,3,3,2,2,"A1",42.8757766026381,2
"F",2007-09-02,20234,"2023","SUCRE","SINCELEJO","Sin Estrato","N","TÉCNICO",60,45,53,49,43,255,3,2,2,2,"A-",NA,NA
"F",2001-12-08,20214,"2021","NARIÑO","BARBACOAS","Sin Estrato","S","TÉCNICO",33,30,37,32,38,167,1,1,1,1,"A-",42.2926604002921,2
"M",2004-12-09,20214,"2021","NARIÑO","TÚQUERRES","Estrato 5","N","ACADÉMICO",52,48,40,47,39,231,3,2,2,1,"A-",35.4822063565356,1
"F",2005-01-08,20214,"2021","VALLE","ZARZAL","Estrato 2","N","TÉCNICO/ACADÉMICO",63,53,59,58,59,292,3,3,3,3,"A2",49.2881698455838,2
"F",2005-01-21,20214,"2021","ATLANTICO","BARRANQUILLA","Estrato 3","N","ACADÉMICO",68,62,54,59,62,304,4,3,3,2,"A2",NA,NA
"F",2003-03-15,20204,"2020","CALDAS","MANIZALES","Estrato 6","N","ACADÉMICO",64,55,67,57,48,299,3,3,3,3,"A1",61.6437485026628,3
"F",2006-02-02,20224,"2022","CORDOBA","TIERRALTA","Estrato 1","N","ACADÉMICO",31,28,41,33,37,168,1,1,1,2,"A-",51.2226736112299,3
"F",2003-09-24,20224,"2022","CESAR","SAN MARTÍN","Estrato 1","N","TÉCNICO/ACADÉMICO",58,54,64,52,62,287,3,3,2,3,"A2",36.1289212922958,1
"F",2005-08-27,20214,"2021","CUNDINAMARCA","MADRID","Estrato 2","N","ACADÉMICO",59,38,57,45,32,242,3,2,2,3,"A-",51.6636289527352,3
"M",2005-06-16,20224,"2022","ATLANTICO","REPELÓN","Estrato 1","N","ACADÉMICO",47,48,41,55,46,238,2,2,2,2,"A-",35.3285477135589,1
"F",2003-04-02,20214,"2021","ATLANTICO","BARANOA","Estrato 1","N","ACADÉMICO",40,36,31,43,42,189,2,2,2,1,"A-",46.8254762622542,2
"M",2003-10-23,20204,"2020","ATLANTICO","POLONUEVO","Estrato 2","N","TÉCNICO/ACADÉMICO",31,45,35,36,43,186,1,2,1,1,"A-",49.0967449140772,2
"F",2007-03-21,20234,"2023","PUTUMAYO","PUERTO CAICEDO","Sin Estrato","N","ACADÉMICO",44,42,28,33,35,183,2,2,1,1,"A-",NA,NA
"F",2002-06-02,20204,"2020","BOGOTÁ","BOGOTÁ D.C.","Estrato 1","N","ACADÉMICO",47,42,29,37,35,192,2,2,1,1,"A-",46.3671235469995,2
"F",2006-02-23,20234,"2023","BOYACA","TIPACOQUE","Estrato 2","N","TÉCNICO",63,65,61,66,58,317,3,3,3,3,"A2",34.1786073672509,1
"F",2006-11-02,20234,"2023","BOGOTÁ","BOGOTÁ D.C.","Estrato 3","N","ACADÉMICO",57,61,71,70,68,325,3,3,3,4,"B1",60.5241771403425,3
"F",2006-08-18,20234,"2023","CORDOBA","LORICA","Sin Estrato","N","ACADÉMICO",39,26,42,37,45,183,2,1,1,2,"A-",31.9283937768424,1
"M",2004-07-15,20214,"2021","ATLANTICO","MALAMBO","Estrato 2","N","ACADÉMICO",53,31,46,44,43,217,3,1,2,2,"A-",55.127201670331,3
"M",2006-08-13,20224,"2022","SANTANDER","PIEDECUESTA","Estrato 3","N","ACADÉMICO",62,73,64,61,62,324,3,4,3,3,"A2",58.1638745524434,3
"F",2005-03-18,20224,"2022","VALLE","CALI","Estrato 2","N","TÉCNICO/ACADÉMICO",72,62,65,61,67,326,4,3,3,3,"A2",56.5385133978087,3
"F",2005-05-17,20234,"2023","BOGOTÁ","BOGOTÁ D.C.","Estrato 3","N","ACADÉMICO",49,42,44,39,43,217,2,2,1,2,"A-",55.7439550284013,3
"F",2002-06-20,20204,"2020","ANTIOQUIA","MEDELLÍN","Estrato 3","N","ACADÉMICO",65,57,70,55,59,308,3,3,2,3,"A2",59.9901332705188,3
"F",2007-01-24,20234,"2023","LA GUAJIRA","MAICAO","Estrato 1","N","ACADÉMICO",32,31,27,40,46,168,1,1,1,1,"A-",45.2451818009219,2
"F",2006-01-19,20234,"2023","ATLANTICO","SOLEDAD","Estrato 3","N","ACADÉMICO",51,47,43,36,45,222,3,2,1,2,"A-",62.0513033831277,3
"F",2003-06-17,20214,"2021","ANTIOQUIA","EL CARMEN DE VIBORAL","Estrato 3","N","TÉCNICO/ACADÉMICO",61,63,60,69,50,311,3,3,3,3,"A1",65.1024929352873,4
"F",2006-08-03,20234,"2023","ANTIOQUIA","MEDELLÍN","Estrato 1","N","ACADÉMICO",58,54,56,40,48,258,3,3,1,3,"A1",53.0698388293837,3
"M",1982-05-17,20204,"2020","VALLE","SEVILLA","Estrato 1","N","ACADÉMICO",36,37,31,36,38,176,2,2,1,1,"A-",42.3306260967672,2
"F",2002-03-28,20214,"2021","BOYACA","SOGAMOSO","Estrato 2","N","ACADÉMICO",58,52,61,54,70,287,3,3,2,3,"B1",71.1897859642275,4
"M",2004-07-12,20214,"2021","VALLE","CALI","Estrato 3","N","TÉCNICO/ACADÉMICO",54,59,53,60,56,282,3,3,3,2,"A1",40.7689099813327,1
"F",2003-12-05,20214,"2021","VALLE","BUGALAGRANDE","Estrato 1","N","TÉCNICO",38,30,35,40,56,187,2,1,1,1,"A1",50.0829233690346,2
"F",2003-07-07,20214,"2021","ATLANTICO","BARRANQUILLA","Estrato 1","N","ACADÉMICO",33,37,35,37,33,177,1,2,1,1,"A-",49.2792784557591,2
"F",2002-09-06,20214,"2021","BOGOTÁ","BOGOTÁ D.C.","Estrato 2","N","ACADÉMICO",30,34,36,39,47,178,1,1,1,1,"A-",53.3942760253161,3
"M",2003-03-12,20204,"2020","BOLIVAR","CARTAGENA DE INDIAS","Estrato 3","N","ACADÉMICO",79,55,73,49,63,320,4,3,2,4,"A2",78.666112302265,4
"F",2004-02-16,20224,"2022","MAGDALENA","ARACATACA","Estrato 1","N","TÉCNICO/ACADÉMICO",38,43,30,33,36,180,2,2,1,1,"A-",45.5569834401398,2
"M",2006-08-19,20234,"2023","BOGOTÁ","BOGOTÁ D.C.","Estrato 3","N","ACADÉMICO",69,100,75,78,81,403,4,4,4,4,"B+",59.083977441104,3
"F",2004-10-17,20214,"2021","CAQUETA","MILÁN","Sin Estrato","N","TÉCNICO/ACADÉMICO",55,60,53,50,51,271,3,3,2,2,"A1",45.0325931498159,2
"F",2004-11-25,20214,"2021","ATLANTICO","BARRANQUILLA","Estrato 3","N","ACADÉMICO",78,69,71,68,79,360,4,3,3,4,"B+",64.6354675178412,4
"M",2003-08-09,20204,"2020","TOLIMA","ARMERO","Estrato 1","N","TÉCNICO/ACADÉMICO",51,44,25,44,47,207,3,2,2,1,"A-",40.9035062745628,1
"F",2005-09-03,20224,"2022","ANTIOQUIA","SOPETRÁN","Estrato 2","N","ACADÉMICO",46,35,40,44,31,202,2,1,2,1,"A-",42.7747740225368,2
"M",2003-10-10,20204,"2020","BOGOTÁ","BOGOTÁ D.C.","Estrato 2","N","ACADÉMICO",72,71,67,74,55,349,4,4,4,3,"A1",53.9223238485864,3
"F",2005-05-11,20224,"2022","NARIÑO","PASTO","Estrato 2","N","ACADÉMICO",44,41,35,45,37,205,2,2,2,1,"A-",47.1732465694026,2
"M",2004-05-03,20214,"2021","VALLE","CALI","Estrato 4","N","TÉCNICO",74,80,72,79,72,380,4,4,4,4,"B1",58.1629502829918,3
"M",2002-08-04,20204,"2020","BOGOTÁ","BOGOTÁ D.C.","Estrato 3","N","ACADÉMICO",70,70,63,59,72,330,4,3,3,3,"B1",63.0329636436177,3
"M",2004-10-15,20214,"2021","ANTIOQUIA","MEDELLÍN","Estrato 2","N","TÉCNICO/ACADÉMICO",43,37,37,47,53,210,2,2,2,1,"A1",57.7671044504782,3
"F",2004-05-19,20204,"2020","MAGDALENA","ARACATACA","Estrato 2","N","TÉCNICO/ACADÉMICO",51,43,49,42,43,230,3,2,2,2,"A-",48.2775511603216,2
"M",2002-10-13,20214,"2021","CASANARE","YOPAL","Estrato 1","N","TÉCNICO/ACADÉMICO",58,54,61,56,42,280,3,3,3,3,"A-",42.1388381232012,2
"M",2005-01-23,20214,"2021","ANTIOQUIA","ENVIGADO","Estrato 2","N","ACADÉMICO",57,48,58,61,56,280,3,2,3,3,"A1",62.2943241955971,3
"M",2007-05-18,20234,"2023","CASANARE","YOPAL","Estrato 1","N","TÉCNICO/ACADÉMICO",50,45,47,57,58,252,2,2,3,2,"A2",47.2842062012603,2
"M",2006-11-20,20234,"2023","BOGOTÁ","BOGOTÁ D.C.","Estrato 5","N","ACADÉMICO",70,72,69,68,81,353,4,4,3,3,"B+",67.53694489311,4
"F",2002-03-07,20214,"2021","ANTIOQUIA","AMALFI","Estrato 2","N","ACADÉMICO",48,44,40,39,37,212,2,2,1,1,"A-",53.4906241191154,3
"M",2004-07-14,20214,"2021","NORTE SANTANDER","PAMPLONA","Estrato 2","N","TÉCNICO/ACADÉMICO",55,57,53,59,59,281,3,3,3,2,"A2",47.6420079459254,2
"M",2002-12-06,20224,"2022","CAUCA","BOLÍVAR","Estrato 2","N","ACADÉMICO",37,27,42,35,34,176,2,1,1,2,"A-",48.5276300331671,2
"F",2004-04-29,20224,"2022","VALLE","CALI","Estrato 1","N","ACADÉMICO",27,49,38,52,35,205,1,2,2,1,"A-",47.6274699975748,2
"M",2005-10-15,20224,"2022","BOYACA","SOGAMOSO","Estrato 1","N","TÉCNICO/ACADÉMICO",63,48,49,52,63,269,3,2,2,2,"A2",55.3918969743173,3
"M",2002-11-15,20204,"2020","BOGOTÁ","BOGOTÁ D.C.","Estrato 1","N","ACADÉMICO",49,55,47,41,41,237,2,3,2,2,"A-",56.19681869845,3
"F",1992-11-12,20204,"2020","ANTIOQUIA","MEDELLÍN","Estrato 2","N","TÉCNICO/ACADÉMICO",44,35,31,29,42,177,2,1,1,1,"A-",30.4777505622869,1
"M",2006-12-08,20224,"2022","CHOCO","QUIBDÓ","Estrato 2","N","TÉCNICO/ACADÉMICO",55,71,60,61,76,314,3,4,3,3,"B1",NA,NA
"F",2001-11-28,20214,"2021","ATLANTICO","BARRANQUILLA","Estrato 4","N","TÉCNICO/ACADÉMICO",48,38,41,42,47,213,2,2,2,2,"A-",61.2168246474443,3
"M",2003-08-25,20204,"2020","BOGOTÁ","BOGOTÁ D.C.","Estrato 2","N","ACADÉMICO",46,65,54,44,48,260,2,3,2,2,"A1",58.4825055721388,3
"F",2005-09-13,20234,"2023","CAQUETA","FLORENCIA","Estrato 2","N","ACADÉMICO",46,45,39,40,48,215,2,2,1,1,"A1",61.8575016076833,3
"M",2005-12-07,20234,"2023","ANTIOQUIA","ENVIGADO","Estrato 5","S","ACADÉMICO",55,58,60,57,69,292,3,3,3,3,"B1",66.6399376455324,4
"M",2005-10-14,20234,"2023","ANTIOQUIA","BELLO","Sin Estrato","N","ACADÉMICO",52,27,32,38,34,185,3,1,1,1,"A-",48.1573266075841,2
"M",2006-11-23,20234,"2023","VALLE","ZARZAL","Estrato 2","N","ACADÉMICO",55,53,53,53,46,265,3,3,2,2,"A-",50.5143147766169,2
"M",2003-11-10,20204,"2020","GUAVIARE","SAN JOSÉ DEL GUAVIARE","Estrato 2","N","NO APLICA",49,64,47,48,46,258,2,3,2,2,"A-",61.233286488011,3
