"ESTU_GENERO","ESTU_FECHANACIMIENTO","PERIODO","YEAR","ESTU_DEPTO_RESIDE","ESTU_MCPIO_RESIDE","FAMI_ESTRATOVIVIENDA","COLE_BILINGUE","COLE_CARACTER","PUNT_LECTURA_CRITICA","PUNT_MATEMATICAS","PUNT_SOCIALES_CIUDADANAS","PUNT_C_NATURALES","PUNT_INGLES","PUNT_GLOBAL","DESEMP_LECTURA_CRITICA","DESEMP_MATEMATICAS","DESEMP_C_NATURALES","DESEMP_SOCIALES_CIUDADANAS","DESEMP_INGLES","ESTU_INSE_INDIVIDUAL","ESTU_NSE_INDIVIDUAL"
"M",2002-10-16,20234,"2023","VALLE","CALI","Estrato 3","N","NO APLICA",49,53,51,53,43,254,2,3,2,2,"A-",33.4870368449938,1
"F",2005-07-12,20214,"2021","ANTIOQUIA","ITAGÜÍ","Estrato 1","N","TÉCNICO/ACADÉMICO",57,52,52,48,62,265,3,3,2,2,"A2",46.6756848891806,2
"M",2000-12-16,20224,"2022","CAUCA","CALDONO","Estrato 1","S","TÉCNICO/ACADÉMICO",37,32,19,39,32,159,2,1,1,1,"A-",38.1324339843917,1
"F",2004-02-12,20204,"2020","ANTIOQUIA","MEDELLÍN","Estrato 2","N","ACADÉMICO",58,51,58,51,49,270,3,3,2,3,"A1",53.2723061702479,3
"M",2003-06-23,20214,"2021","BOGOTÁ","BOGOTÁ D.C.","Sin Estrato","N","ACADÉMICO",54,44,25,26,34,185,3,2,1,1,"A-",48.3945060251701,2
"M",2006-04-28,20234,"2023","BOGOTÁ","BOGOTÁ D.C.","Estrato 2","N","ACADÉMICO",46,37,38,46,34,206,2,2,2,1,"A-",57.609362625651,3
"F",2007-03-29,20234,"2023","BOGOTÁ","BOGOTÁ D.C.","Estrato 5","N","ACADÉMICO",43,44,34,41,43,203,2,2,2,1,"A-",67.624245593344,4
"M",2004-12-22,20214,"2021","ANTIOQUIA","MEDELLÍN","Estrato 2","N","TÉCNICO/ACADÉMICO",60,69,64,64,60,320,3,3,3,3,"A2",60.8219165931156,3
"F",2003-12-04,20204,"2020","TOLIMA","CARMEN DE APICALÁ","Estrato 2","N","TÉCNICO",59,54,51,32,49,245,3,3,1,2,"A1",55.9452178312109,3
"F",2002-12-04,20214,"2021","ANTIOQUIA","BELLO","Estrato 3","N","ACADÉMICO",57,48,36,59,53,251,3,2,3,1,"A1",50.3917822732964,2
"M",2002-04-02,20201,"2020","ATLANTICO","BARRANQUILLA","Estrato 5","S","ACADÉMICO",70,82,75,73,84,378,4,4,4,4,"B+",66.8814544292824,4
"M",2004-02-19,20204,"2020","BOLIVAR","CARTAGENA DE INDIAS","Estrato 1","N","TÉCNICO/ACADÉMICO",55,54,38,50,40,243,3,3,2,1,"A-",45.1813556896124,2
"M",2007-06-19,20234,"2023","MAGDALENA","CHIVOLO","Estrato 2","N","TÉCNICO/ACADÉMICO",49,50,34,37,48,215,2,2,1,1,"A1",55.8267147014814,3
"F",2003-01-22,20204,"2020","CAUCA","MIRANDA","Estrato 2","N","TÉCNICO",42,34,33,35,37,180,2,1,1,1,"A-",50.0622790048337,2
"M",2003-08-26,20204,"2020","ANTIOQUIA","SANTA ROSA DE OSOS","Estrato 2","N","TÉCNICO/ACADÉMICO",54,45,33,49,42,225,3,2,2,1,"A-",47.620763952876,2
